timestamp,Q_sub1,Q_sub2,Q_ch4,Q_gas,pH,VFA,TAC,T_digester
2024-01-01 00:00:00,15.0,10.0,817.9020133071779,4670.810139307835,7.070336585602451,0.06349174613050952,6.306343507545353,308.63412279618564
2024-01-01 01:00:00,15.0,10.0,730.0591142304266,3577.571494912803,7.238609541415352,0.04937082862313375,6.37739903969459,309.3589027680582
2024-01-01 02:00:00,15.0,10.0,732.6008859893603,2950.7498552879924,6.997782472866811,0.050968639514493604,6.351983051325885,307.4552383238909
2024-01-01 03:00:00,15.0,10.0,742.9108764695591,2846.782967410009,7.4138548711792,0.054811959599961435,6.392076633692252,308.8790854037395
2024-01-01 04:00:00,15.0,10.0,722.0798433609843,2814.715029290144,7.193559412232116,0.06144369385357816,6.241330805675232,308.185067759183
2024-01-01 05:00:00,15.0,10.0,760.1141767873747,2920.6898677154104,7.263903125130588,0.06998957701523609,6.272113787194592,308.55305010840004
2024-01-01 06:00:00,15.0,10.0,814.3710755487369,2840.678064479945,7.565827891698473,0.08066641787840334,6.291256220019775,307.32611142944774
2024-01-01 07:00:00,15.0,10.0,839.3767155749958,2862.994066732538,7.456353503799894,0.08183409448931996,6.238897187573929,308.88404091133265
2024-01-01 08:00:00,15.0,10.0,876.1083351664993,2754.3111918768495,7.199487488273893,0.0918711577363811,6.16597151634519,308.5432583756659
2024-01-01 09:00:00,15.0,10.0,891.1290624905542,2756.078561331611,7.164554513402969,0.100602603866649,6.168398777058805,308.13054498260686
2024-01-01 10:00:00,15.0,10.0,951.3499744962788,2845.766283338282,7.209606938367021,0.10864016349562056,6.10278563488061,308.47255634383055
2024-01-01 11:00:00,15.0,10.0,976.1204748186079,2825.238971538822,7.3367799787691865,0.11664314891263099,6.251211919776614,307.76725234947884
2024-01-01 12:00:00,15.0,10.0,986.6616932627834,2854.2618708905243,7.2528592391655895,0.12714840266244187,6.182135063538804,307.8602799572091
2024-01-01 13:00:00,15.0,10.0,1030.2635243532275,2813.77405329596,7.215692181787618,0.1332909064417457,6.106650779382178,307.9182776931873
2024-01-01 14:00:00,15.0,10.0,1037.4603044074613,2840.9274271105123,7.491384525988675,0.1462743597979072,6.101884860837414,307.22363606915485
2024-01-01 15:00:00,15.0,10.0,1028.422575157614,2834.7268512345267,7.2654676230925475,0.1541205490616656,6.02935450697019,308.5808792471017
2024-01-01 16:00:00,15.0,10.0,1071.2105851787894,2870.0980046973373,7.621134182437666,0.1641510155769698,6.295037152633474,308.74579680709127
2024-01-01 17:00:00,15.0,10.0,1058.1959945322262,2871.894059704737,7.302888706508329,0.17290564510189585,6.179184148407687,307.79932792511806
2024-01-01 18:00:00,15.0,10.0,1112.308416027053,2734.679512445265,7.553402804347085,0.1818613306833803,6.058502297889354,308.3241015079724
2024-01-01 19:00:00,15.0,10.0,1105.047786161556,2699.0397195530463,7.34821482086838,0.18675300053362923,6.259984916807217,308.01722976268536
2024-01-01 20:00:00,15.0,10.0,1114.019096193797,2882.359934395071,7.439488236526214,0.20488970833550907,6.086928800599857,308.3141369810405
